z,H_SI,H_km_s_Mpc
0.0,2.1843858348746465e-18,67.403104
0.00125,2.1856776040420263e-18,67.44296383160246
0.0025,2.186971837393662e-18,67.48289969998606
0.00375,2.1882685345862087e-18,67.5229115945563
0.005,2.1895676952688206e-18,67.56299950448721
0.00625,2.1908693190831815e-18,67.6031634187223
0.0075,2.192173405663526e-18,67.64340332597523
0.00875,2.19347995463667e-18,67.68371921473073
0.01,2.1947889656220346e-18,67.7241110732454
0.01125,2.1961004382316734e-18,67.76457888954842
0.0125,2.197414372070297e-18,67.80512265144245
0.01375,2.1987307667353025e-18,67.84574234650448
0.015,2.2000496218167965e-18,67.88643796208649
0.01625,2.201370936897624e-18,67.92720948531645
0.0175,2.202694711553393e-18,67.96805690309898
0.01875,2.2040209453525018e-18,68.00898020211625
0.02,2.2053496378561655e-18,68.04997936882876
0.02125,2.206680788618443e-18,68.0910543894762
0.0225,2.208014397186262e-18,68.13220525007824
0.02375,2.2093504630994468e-18,68.17343193643532
0.025,2.2106889858907436e-18,68.21473443412953
0.02625,2.212029965085849e-18,68.25611272852535
0.0275,2.213373400203434e-18,68.29756680477055
0.02875,2.214719290755174e-18,68.33909664779702
0.03,2.2160676362457714e-18,68.38070224232142
0.03125,2.217418436172986e-18,68.42238357284629
0.0325,2.218771690027659e-18,68.4641406236606
0.03375,2.2201273972937413e-18,68.50597337884075
0.035,2.221485557448318e-18,68.54788182225127
0.03625,2.2228461699616383e-18,68.58986593754577
0.0375,2.2242092342971403e-18,68.63192570816766
0.03875,2.2255747499114773e-18,68.67406111735102
0.04,2.2269427162545458e-18,68.71627214812142
0.04125,2.228313132769511e-18,68.75855878329676
0.0425,2.229685998892835e-18,68.80092100548806
0.043750000000000004,2.231061314054302e-18,68.8433587971003
0.045,2.232439077677047e-18,68.88587214033329
0.04625,2.2338192891775807e-18,68.92846101718241
0.0475,2.2352019479658176e-18,68.97112540943957
0.04875,2.2365870534451013e-18,69.01386529869383
0.05,2.237974605012233e-18,69.05668066633245
0.051250000000000004,2.239364602057499e-18,69.0995714935416
0.0525,2.2407570439646938e-18,69.14253776130721
0.05375,2.24215193011115e-18,69.18557945041574
0.055,2.2435492598677658e-18,69.22869654145514
0.05625,2.2449490325990297e-18,69.27188901481559
0.0575,2.2463512476630475e-18,69.31515685069027
0.058750000000000004,2.2477559044115705e-18,69.35850002907635
0.06,2.249163002190021e-18,69.40191852977567
0.06125,2.2505725403375216e-18,69.44541233239566
0.0625,2.2519845181869173e-18,69.48898141635009
0.06375,2.253398935064808e-18,69.53262576085999
0.065,2.2548157902915712e-18,69.5763453449544
0.06625,2.256235083181391e-18,69.62014014747128
0.0675,2.2576568130422833e-18,69.6640101470582
0.06875,2.259080979176125e-18,69.70795532217335
0.07,2.260507580878678e-18,69.7519756510862
0.07125000000000001,2.261936617439618e-18,69.79607111187843
0.0725,2.263368088142561e-18,69.84024168244477
0.07375,2.264801992265089e-18,69.88448734049369
0.075,2.2662383290787788e-18,69.92880806354843
0.07625,2.2676770978492277e-18,69.97320382894767
0.0775,2.269118297836079e-18,70.0176746138464
0.07875,2.270561928293052e-18,70.0622203952168
0.08,2.2720079884679643e-18,70.10684114984895
0.08125,2.2734564776027636e-18,70.15153685435178
0.0825,2.2749073949335504e-18,70.19630748515384
0.08375,2.276360739690607e-18,70.24115301850412
0.085,2.2778165110984243e-18,70.2860734304729
0.08625000000000001,2.2792747083757265e-18,70.33106869695253
0.08750000000000001,2.2807353307354993e-18,70.37613879365828
0.08875,2.2821983773850176e-18,70.42128369612924
0.09,2.283663847525869e-18,70.46650337972893
0.09125,2.285131740353984e-18,70.5117978196464
0.0925,2.286602055059661e-18,70.55716699089685
0.09375,2.2880747908275915e-18,70.60261086832249
0.095,2.2895499468368912e-18,70.64812942659347
0.09625,2.291027522261121e-18,70.69372264020855
0.0975,2.292507516268318e-18,70.73939048349605
0.09875,2.293989928021018e-18,70.78513293061451
0.1,2.2954747566762888e-18,70.83094995555375
0.10125,2.296962001385746e-18,70.87684153213539
0.10250000000000001,2.298451661295592e-18,70.92280763401398
0.10375000000000001,2.2999437355466324e-18,70.96884823467754
0.105,2.3014382232743075e-18,71.01496330744854
0.10625,2.3029351236087185e-18,71.06115282548473
0.1075,2.3044344356746513e-18,71.10741676177982
0.10875,2.3059361585916064e-18,71.15375508916442
0.11,2.3074402914738226e-18,71.2001677803068
0.11125,2.3089468334303037e-18,71.2466548077137
0.1125,2.3104557835648472e-18,71.2932161437312
0.11375,2.3119671409760667e-18,71.3398517605454
0.115,2.313480904757422e-18,71.38656163018342
0.11625,2.3149970739972432e-18,71.43334572451406
0.11750000000000001,2.316515647778757e-18,71.48020401524863
0.11875000000000001,2.3180366251801133e-18,71.52713647394182
0.12,2.3195600052744117e-18,71.5741430719925
0.12125,2.321085787129727e-18,71.62122378064443
0.1225,2.322613969809136e-18,71.66837857098719
0.12375,2.3241445523707426e-18,71.71560741395689
0.125,2.325677533867705e-18,71.76291028033707
0.12625,2.3272129133482615e-18,71.81028714075941
0.1275,2.3287506898557547e-18,71.85773796570459
0.12875,2.330290862428661e-18,71.90526272550302
0.13,2.331833430100612e-18,71.95286139033576
0.13125,2.3333783919004264e-18,72.00053393023524
0.1325,2.3349257468521287e-18,72.048280315086
0.13375,2.3364754939749803e-18,72.09610051462565
0.135,2.3380276322835046e-18,72.14399449844552
0.13625,2.33958216078751e-18,72.19196223599151
0.1375,2.3411390784921192e-18,72.2400036965649
0.13875,2.3426983843977925e-18,72.28811884932314
0.14,2.3442600775003533e-18,72.33630766328055
0.14125000000000001,2.345824156791016e-18,72.38457010730929
0.14250000000000002,2.347390621256409e-18,72.43290615013994
