z,D_C_Mpc,D_M_Mpc,D_A_Mpc,D_L_Mpc
0.0,0.0,0.0,0.0,0.0
0.00125,5.558050171866798,5.558050171866798,5.551111282763344,5.564997734581632
0.0025,11.112813291718068,11.112813291718068,11.08510054036715,11.140595324947363
0.00375,16.664286992330865,16.664286992330865,16.602029382147812,16.726778068552104
0.005,22.212468922673434,22.212468922673434,22.101959127038246,22.323531267286796
0.00625,27.7573567478996,27.7573567478996,27.58495080536606,27.930840227573974
0.0075,33.298948149342856,33.298948149342856,33.05106516063807,33.548690260462934
0.00875,38.83724082451021,38.83724082451021,38.500362651311235,39.17706668172468
0.01,44.37223248707564,44.37223248707564,43.93290345255014,44.8159548119464
0.01125,49.90392086687338,49.90392086687338,49.3487474579712,50.4653399766257
0.0125,55.43230370989085,55.43230370989085,54.74795428137369,56.125207506264495
0.01375,60.957378778261294,60.957378778261294,60.130583258457506,61.79554273646239
0.015,66.4791438502562,66.4791438502562,65.49669344852828,67.47633100801002
0.01625,71.99759672027734,71.99759672027734,70.84634363618926,73.16755766698186
0.0175,77.51273519884862,77.51273519884862,76.17959233302075,78.86920806482847
0.01875,83.02455711260755,83.02455711260755,81.49649777924668,84.58126755846895
0.02,88.53306030429665,88.53306030429665,86.79711794538888,90.30372151038259
0.02125,94.03824263275425,94.03824263275425,92.08151053390868,96.03655528870026
0.0225,99.5401019729052,99.5401019729052,97.3497329808364,101.77975426729556
0.02375,105.03863621575148,105.03863621575148,102.60184245738851,107.53330382587558
0.025,110.53384326836213,110.53384326836213,107.83789587157283,113.29718935007119
0.02625,116.02572105386321,116.02572105386321,113.05794986978144,119.07139623152713
0.0275,121.51426751142746,121.51426751142746,118.26206083837222,124.85590986799173
0.02875,126.99948059626355,126.99948059626355,123.45028490523795,130.65071566340612
0.03,132.4813582796052,132.4813582796052,128.62267794136426,136.45579902799335
0.03125,137.95989854869998,137.95989854869998,133.77929556237575,142.27114537834686
0.0325,143.43509940679778,143.43509940679778,138.9201931300705,148.0967401375187
0.03375,148.90695887313913,148.90695887313913,144.04542575394353,153.93256873510757
0.035,154.37547498294327,154.37547498294327,149.15504829269884,159.7786166073463
0.03625,159.84064578739574,159.84064578739574,154.24911535574984,165.63486919718883
0.0375,165.30246935363607,165.30246935363607,159.32768130470944,171.50131195439744
0.03875,170.76094376474475,170.76094376474475,164.3908002548686,177.37793033562866
0.04,176.21606711973044,176.21606711973044,169.4385260766639,183.2647098045197
0.04125,181.6678375335165,181.6678375335165,174.4709123971347,189.16163583177408
0.0425,187.11625313692755,187.11625313692755,179.48801260136935,195.06869389524695
0.04375,192.56131207667565,192.56131207667565,184.48987983394076,200.98586948003023
0.045,198.00301251534628,198.00301251534628,189.47656700033139,206.91314807853684
0.04625,203.44135263138395,203.44135263138395,194.4481267683479,212.85051519058544
0.0475,208.87633061907766,208.87633061907766,199.4046115695252,218.7979563234839
0.04875,214.30794468854623,214.30794468854623,204.3460736005208,224.75545699211287
