s,Pi
8e-15,3.9999999599999997e-07
9e-15,4.4999999549999996e-07
1e-14,4.99999995e-07
1.1e-14,5.499999945e-07
1.2e-14,5.99999994e-07
4.4987306015227923e-14,2.249365278267743e-06
5.0610719267131414e-14,2.530535938051211e-06
5.6234132519034906e-14,2.8117065978346788e-06
6.18575457709384e-14,3.092877257618147e-06
6.74809590228419e-14,3.3740479174016146e-06
2.5298221281347037e-13,1.2649110514182409e-05
2.846049894151541e-13,1.4230249328455212e-05
3.162277660168379e-13,1.5811388142728012e-05
3.478505426185217e-13,1.7392526957000813e-05
3.794733192202055e-13,1.8973665771273614e-05
1.4226235280311382e-12,7.113117569024514e-05
1.6004514690350305e-12,8.002257265152578e-05
1.7782794100389228e-12,8.891396961280642e-05
1.956107351042815e-12,9.780536657408707e-05
2.1339352920467075e-12,0.00010669676353536771
8e-12,0.000399999996
9e-12,0.00044999999549999995
1e-11,0.0004999999949999999
1.1e-11,0.0005499999945
1.2e-11,0.000599999994
4.4987306015227924e-11,0.002249365278267743
5.0610719267131415e-11,0.002530535938051211
5.6234132519034906e-11,0.002811706597834679
6.18575457709384e-11,0.003092877257618147
6.74809590228419e-11,0.0033740479174016146
2.5298221281347035e-10,0.01264911051418241
2.8460498941515413e-10,0.014230249328455211
3.1622776601683795e-10,0.015811388142728013
3.4785054261852173e-10,0.017392526957000814
3.7947331922020555e-10,0.018973665771273615
1.4226235280311383e-09,0.07113117569024514
1.6004514690350305e-09,0.08002257265152578
1.7782794100389228e-09,0.08891396961280643
1.956107351042815e-09,0.09780536657408706
2.1339352920467076e-09,0.10669676353536771
8e-09,0.3999999959999998
9e-09,0.4499999954999998
1e-08,0.49999999499999975
1.1000000000000001e-08,0.5499999944999997
1.2e-08,0.5999999939999997
