s,Pi
8e-15,3141746796.500474
9e-15,3141746796.500474
1e-14,3141746796.500474
1.1e-14,3141746796.500474
1.2e-14,3141746796.500474
4.4987306015227923e-14,3141746796.500474
5.0610719267131414e-14,3141746796.500474
5.6234132519034906e-14,3141746796.500474
6.18575457709384e-14,3141746796.500474
6.74809590228419e-14,3141746796.500474
2.5298221281347037e-13,3141746796.500474
2.846049894151541e-13,3141746796.500474
3.162277660168379e-13,3141746796.500474
3.478505426185217e-13,3141746796.500474
3.794733192202055e-13,3141746796.500474
1.4226235280311382e-12,3141746796.500474
1.6004514690350305e-12,3141746796.500474
1.7782794100389228e-12,3141746796.500474
1.956107351042815e-12,3141746796.500474
2.1339352920467075e-12,3141746796.500474
8e-12,3141746796.500474
9e-12,3141746796.500474
1e-11,3141746796.500474
1.1e-11,3141746796.500474
1.2e-11,3141746796.500474
4.4987306015227924e-11,3141746796.500473
5.0610719267131415e-11,3141746796.5004725
5.6234132519034906e-11,3141746796.5004725
6.18575457709384e-11,3141746796.5004725
6.74809590228419e-11,3141746796.500472
2.5298221281347035e-10,3141746796.5004673
2.8460498941515413e-10,3141746796.5004663
3.1622776601683795e-10,3141746796.5004654
3.4785054261852173e-10,3141746796.5004644
3.7947331922020555e-10,3141746796.5004635
1.4226235280311383e-09,3141746796.5004344
1.6004514690350305e-09,3141746796.500429
1.7782794100389228e-09,3141746796.5004244
1.956107351042815e-09,3141746796.5004196
2.1339352920467076e-09,3141746796.5004144
8e-09,3141746796.50025
9e-09,3141746796.500222
1e-08,3141746796.500194
1.1000000000000001e-08,3141746796.500166
1.2e-08,3141746796.500138
