m_GeV,fa_GeV,Gamma_GeV,tau_s,BR_gg,BR_aa,g_agg_GeV^-1,g_agamma_GeV^-1
1e-12,100000000.0,1.821936438677983e-54,3.6127053772392064e+29,0.9999354803146009,6.451968539923757e-05,6.766631560495023e-09,1.5373673546988758e-10
1e-12,133352143.2163324,1.0245501513387619e-54,6.424399586881383e+29,0.9999354803146008,6.451968539923758e-05,5.074257823901456e-09,1.1528628769054426e-10
1e-12,177827941.00389227,5.7614688982781216e-55,1.1424377507213722e+30,0.9999354803146008,6.451968539923757e-05,3.805156558803611e-09,8.645251955457472e-11
1e-12,237137370.56616554,3.2399120553007e-55,2.0315735293589954e+30,0.9999354803146008,6.451968539923755e-05,2.853464869050242e-09,6.483024379617649e-11
1e-12,316227766.01683795,1.821936438677982e-55,3.6127053772392085e+30,0.9999354803146008,6.451968539923759e-05,2.1397967818343703e-09,4.8615824412364117e-11
1e-12,421696503.42858225,1.024550151338762e-55,6.424399586881382e+30,0.9999354803146008,6.451968539923757e-05,1.6046212158458188e-09,3.645672520875529e-11
1e-12,562341325.1903491,5.761468898278123e-56,1.142437750721372e+31,0.9999354803146007,6.451968539923755e-05,1.2032961579347844e-09,2.7338687125270162e-11
1e-12,749894209.3324559,3.2399120553006994e-56,2.0315735293589957e+31,0.9999354803146008,6.451968539923757e-05,9.02344820947287e-10,2.0501123165991858e-11
1e-12,1000000000.0,1.821936438677983e-56,3.6127053772392065e+31,0.9999354803146008,6.451968539923755e-05,6.766631560495023e-10,1.5373673546988756e-11
1e-12,1333521432.163324,1.024550151338762e-56,6.424399586881381e+31,0.9999354803146007,6.451968539923758e-05,5.074257823901456e-10,1.1528628769054427e-11
1e-12,1778279410.0389228,5.76146889827812e-57,1.1424377507213725e+32,0.9999354803146008,6.451968539923758e-05,3.80515655880361e-10,8.645251955457472e-12
1e-12,2371373705.6616554,3.2399120553006993e-57,2.0315735293589956e+32,0.9999354803146008,6.451968539923755e-05,2.853464869050242e-10,6.483024379617649e-12
1e-12,3162277660.1683793,1.8219364386779832e-57,3.612705377239207e+32,0.9999354803146008,6.451968539923757e-05,2.139796781834371e-10,4.861582441236412e-12
1e-12,4216965034.2858224,1.024550151338762e-57,6.4243995868813816e+32,0.9999354803146008,6.451968539923757e-05,1.604621215845819e-10,3.645672520875529e-12
1e-12,5623413251.903491,5.761468898278121e-58,1.1424377507213723e+33,0.9999354803146008,6.451968539923758e-05,1.2032961579347843e-10,2.7338687125270163e-12
1e-12,7498942093.324558,3.239912055300698e-58,2.0315735293589963e+33,0.9999354803146009,6.451968539923759e-05,9.02344820947287e-11,2.0501123165991858e-12
1e-12,10000000000.0,1.8219364386779836e-58,3.6127053772392057e+33,0.9999354803146007,6.451968539923755e-05,6.766631560495023e-11,1.5373673546988758e-12
1e-12,13335214321.63324,1.0245501513387623e-58,6.424399586881379e+33,0.9999354803146007,6.451968539923757e-05,5.074257823901457e-11,1.1528628769054427e-12
1e-12,17782794100.38923,5.76146889827812e-59,1.1424377507213725e+34,0.9999354803146007,6.451968539923759e-05,3.80515655880361e-11,8.645251955457473e-13
1e-12,23713737056.616554,3.239912055300699e-59,2.031573529358996e+34,0.9999354803146008,6.451968539923759e-05,2.8534648690502418e-11,6.48302437961765e-13
