z,H_GeV,E,DL_GeV^-1,DA_GeV^-1,chi_GeV^-1
0.0,1.4377888655632093e-42,1.2082998224997934,0.0,0.0,0.0
0.015,1.4480989573511926e-42,1.216964294993463,1.0551532788699404e+40,1.0241969267586599e+40,1.0395598806600397e+40
0.03,1.4586422059049367e-42,1.2258247095238466,2.1338116851046137e+40,2.0113221652414116e+40,2.071661830198654e+40
0.045,1.4694180843359593e-42,1.2348806233004384,3.2355802811328244e+40,2.96291777306639e+40,3.0962490728543775e+40
0.06,1.4804259713444386e-42,1.24413151419062,4.360066220887423e+40,3.880443414816148e+40,4.1132700197051164e+40
0.075,1.4916651555968235e-42,1.253576784398551,5.506879083935567e+40,4.765282062897192e+40,5.122678217614481e+40
0.09,1.5031348401185954e-42,1.2632157641567903,6.675631192390731e+40,5.618745217061469e+40,6.124432286597001e+40
0.105,1.51483414668586e-42,1.2730477154169353,7.865937910259148e+40,6.442077689039249e+40,7.11849584638837e+40
0.12,1.5267621202003715e-42,1.2830718355263373,9.077417924985875e+40,7.236461993770628e+40,8.104837433023104e+40
0.135,1.53891773303354e-42,1.2932872608787516,1.0309693511072474e+41,8.003022384344718e+40,9.083430406231255e+40
0.15,1.5512998893259824e-42,1.3036930705276268,1.1562390775738883e+41,8.742828563885734e+40,1.0054252848468594e+41
0.165,1.5639074292302075e-42,1.314288289751603,1.2835139886695841e+41,9.456899104198524e+40,1.1017287456391281e+41
0.18,1.576739133085062e-42,1.3250718935626657,1.4127575282180975e+41,1.0146204597946693e+41,1.1972521425577098e+41
0.195,1.5897937255116286e-42,1.336042810148286,1.54393358634912e+41,1.0811670568436268e+41,1.2919946329281339e+41
0.21,1.6030698794212956e-42,1.3471999242397537,1.67700651703161e+41,1.1454180158675022e+41,1.3859557991996777e+41
0.225,1.6165662199277704e-42,1.3585420803997836,1.8119411539241644e+41,1.2074576619236412e+41,1.4791356358564606e+41
0.24,1.630281328155799e-42,1.3700680862233163,1.9487028245850897e+41,1.2673665612546109e+41,1.5715345359557175e+41
0.255,1.6442137449403458e-42,1.3817767154462635,2.0872573630898406e+41,1.3252217349501379e+41,1.6631532773624229e+41
0.27,1.6583619744109388e-42,1.3936667109577445,2.227571121107797e+41,1.3810968572805488e+41,1.753993008746297e+41
0.285,1.672724487456773e-42,1.4057367877121183,2.3696109774939776e+41,1.4350624400030144e+41,1.8440552354038737e+41
0.3,1.6872997250690514e-42,1.4179856355378455,2.513344346454265e+41,1.4871860038190919e+41,1.9333418049648193e+41
0.315,1.7020861015578426e-42,1.4304119218408922,2.6587391843450785e+41,1.5375322380517737e+41,2.0218548930380824e+41
0.33,1.717082007641498e-42,1.4430142942010415,2.8057639951702216e+41,1.5861631495111207e+41,2.1095969888497908e+41
0.345,1.7322858134074015e-42,1.4557913828600684,2.954387834838889e+41,1.6331382014283324e+41,2.196570880921107e+41
0.36,1.7476958711434674e-42,1.468741803101295,3.104580314249558e+41,1.6785144432577626e+41,2.2827796428305574e+41
0.375,1.7633105180404233e-42,1.481864157520557,3.25631160126481e+41,1.722346632073949e+41,2.36822661910168e+41
0.39,1.7791280787654705e-42,1.4951570381890738,3.409552421641999e+41,1.7646873462253503e+41,2.4529154112532366e+41
0.405,1.7951468679084124e-42,1.5086190287091468,3.56427405898421e+41,1.8055870918474743e+41,2.5368498640457013e+41
0.42,1.8113651923018084e-42,1.5222487061639849,3.720448353775128e+41,1.8450944027847294e+41,2.6200340519543156e+41
0.435,1.8277813532170997e-42,1.5360446429633041,3.878047701560329e+41,1.8832559344220902e+41,2.7024722658956996e+41
0.45,1.8443936484390318e-42,1.5500054085866433,4.037045050336148e+41,1.920116551884018e+41,2.784169000231826e+41
0.465,1.861200374220991e-42,1.564129571226607,4.197413897205681e+41,1.9557194130185236e+41,2.8651289400721373e+41
0.48,1.8781998271241602e-42,1.5784156993344687,4.35912828435972e+41,1.990106046548448e+41,2.945356948891703e+41
0.495,1.8953903057436212e-42,1.592862363070764,4.522162794438484e+41,2.0233164257395257e+41,3.0248580564805913e+41
0.51,1.9127701123247187e-42,1.6074681356636646,4.686492545327972e+41,2.0553890379053428e+41,3.1036374472370675e+41
0.525,1.9303375542731693e-42,1.6222315946780543,4.852093184442611e+41,2.0863609500425094e+41,3.1817004488148272e+41
0.54,1.9480909455625123e-42,1.6371513231983332,5.018940882543647e+41,2.11626787086509e+41,3.2590525211322383e+41
0.555,1.9660286080425973e-42,1.6522259109280537,5.187012327140465e+41,2.145144209485206e+41,3.3356992457494952e+41
0.57,1.9841488726528696e-42,1.6674539552095515,5.356284715519729e+41,2.1730231309666634e+41,3.4116463156176616e+41
0.585,2.0024500805442522e-42,1.6828340619667612,5.526735747444908e+41,2.199936608960148e+41,3.486899525201835e+41
0.6,2.020930584113446e-42,1.6983648465744279,5.698343617566469e+41,2.225915475611902e+41,3.5614647609790435e+41
0.615,2.039588747953459e-42,1.7140449346569213,5.871087007580711e+41,2.2509894689226238e+41,3.635347992310038e+41
0.63,2.0584229497241614e-42,1.72987296281984,6.044945078172985e+41,2.275187277719517e+41,3.708555262682812e+41
0.645,2.0774315809466244e-42,1.7458475793175614,6.219897460778815e+41,2.298536584391798e+41,3.7810926813245075e+41
0.66,2.096613047724943e-42,1.761967444659855,6.395924249194292e+41,2.3210641055284844e+41,3.852966415177284e+41
0.675,2.115965771399187e-42,1.7782312321606133,6.573005991064995e+41,2.342795630586766e+41,3.924182681232832e+41
0.69,2.1354881891330426e-42,1.7946376284316987,6.751123679280694e+41,2.363756058709672e+41,3.994747739219346e+41
0.705,2.1551787544396283e-42,1.8111853338248327,6.930258743301094e+41,2.383969433802975e+41,4.064667884634072e+41
0.72,2.1750359376488728e-42,1.8278730628243736,7.110393040436006e+41,2.4034589779732308e+41,4.133949442113957e+41
0.735,2.1950582263197442e-42,1.8446995443937497,7.291508847101543e+41,2.422247123421519e+41,4.202598759136336e+41
0.75,2.2152441256005225e-42,1.8616635222782276,7.473588850072167e+41,2.4403555428807075e+41,4.270622200041238e+41
0.765,2.2355921585401925e-42,1.8787637552666032,7.656616137746812e+41,2.4578051786778843e+41,4.338026140366466e+41
0.78,2.2561008663539306e-42,1.8959990174143129,7.840574191445714e+41,2.4746162704979526e+41,4.4048169614863554e+41
0.795,2.2767688086455446e-42,1.9133680982303691,8.025446876753078e+41,2.4908083819191593e+41,4.471001045544891e+41
0.81,2.29759456358961e-42,1.930869802830426,8.21121843491939e+41,2.5064004257865723e+41,4.536584770673696e+41
