z,H_km_s_Mpc,D_C_Mpc,D_M_Mpc,D_A_Mpc,D_L_Mpc,mu_mag
0,67.4031035577,0,0,0,0,-1475
0.0012,67.4413675358,5.33579131054,5.33579131054,5.3293960353,5.34219426011,28.6385983819
0.0024,67.4797015898,10.6685533613,10.6685533613,10.643010137,10.6941578894,30.1457329588
0.0036,67.5181057104,15.9982840571,15.9982840571,15.9408968285,16.0558778797,31.0281702813
0.0048,67.5565798878,21.3249813164,21.3249813164,21.2231103865,21.4273412267,31.6548414287
0.006,67.5951241125,26.6486430714,26.6486430714,26.4897048424,26.8085349299,32.1413654035
0.0072,67.6337383745,31.9692672683,31.9692672683,31.7407339836,32.1994459927,32.5392419975
0.0084,67.6724226636,37.2868518668,37.2868518668,36.9762513554,37.6000614225,32.8759427719
0.0096,67.7111769694,42.6013948403,42.6013948403,42.1963102618,43.0103682307,33.1678658038
0.0108,67.7500012816,47.9128941761,47.9128941761,47.4009637674,48.4303534332,33.4255881922
0.012,67.7888955892,53.221347875,53.221347875,52.5902646986,53.8600040495,33.6563319086
0.0132,67.8278598815,58.5267539519,58.5267539519,57.7642656453,59.299307104,33.8652480939
0.0144,67.8668941472,63.8291104349,63.8291104349,62.9230189618,64.7482496252,34.056140162
0.0156,67.9059983752,69.1284153662,69.1284153662,68.0665767686,70.2068186459,34.2318964692
0.0168,67.9451725539,74.4246668016,74.4246668016,73.1949909536,75.6750012038,34.3947621827
0.018,67.9844166716,79.7178628104,79.7178628104,78.3083131733,81.152784341,34.546517125
0.0192,68.0237307165,85.0080014759,85.0080014759,83.4065948547,86.6401551042,34.6885961055
0.0204,68.0631146766,90.2950808948,90.2950808948,88.489887196,92.137100545,34.8221727068
0.0216,68.1025685395,95.5790991776,95.5790991776,93.5582411684,97.6436077198,34.9482190864
0.0228,68.1420922929,100.860054448,100.860054448,98.6117075171,103.15966369,35.0675495881
0.024,68.1816859241,106.137944845,106.137944845,103.650336763,108.685255521,35.1808531537
0.0252,68.2213494204,111.412768519,111.412768519,108.674179203,114.220370286,35.2887178188
0.0264,68.2610827688,116.684523635,116.684523635,113.683284914,119.764995059,35.3916495045
0.0276,68.300885956,121.953208373,121.953208373,118.677703749,125.319116924,35.4900866296
0.0288,68.3407589688,127.218820924,127.218820924,123.657485346,130.882722966,35.5844116088
0.03,68.3807017936,132.481359494,132.481359494,128.62267912,136.455800278,35.674960004
0.0312,68.4207144167,137.740822302,137.740822302,133.573334273,142.038335958,35.7620278785
0.0324,68.4607968242,142.997207583,142.997207583,138.50949979,147.630317109,35.8458777631
0.0336,68.5009490021,148.250513582,148.250513582,143.431224441,153.231730839,35.9267435361
0.0348,68.541170936,153.500738561,153.500738561,148.338556785,158.842564263,36.0048344472
0.036,68.5814626115,158.747880792,158.747880792,153.231545166,164.4628045,36.0803384589
0.0372,68.6218240141,163.991938563,163.991938563,158.11023772,170.092438678,36.1534250392
0.0384,68.6622551288,169.232910175,169.232910175,162.974682372,175.731453926,36.2242475111
0.0396,68.7027559409,174.470793943,174.470793943,167.82492684,181.379837383,36.292945041
0.0408,68.743326435,179.705588194,179.705588194,172.661018634,187.037576193,36.3596443293
0.042,68.783966596,184.937291271,184.937291271,177.483005058,192.704657504,36.4244610565
0.0432,68.8246764082,190.165901527,190.165901527,182.290933212,198.381068473,36.4875011251
0.0444,68.865455856,195.391417332,195.391417332,187.084849992,204.066796261,36.5488617317
0.0456,68.9063049236,200.613837067,200.613837067,191.864802092,209.761828037,36.6086322958
0.0468,68.947223595,205.833159128,205.833159128,196.630836003,215.466150975,36.6668952681
0.048,68.9882118539,211.049381924,211.049381924,201.382998019,221.179752256,36.7237268364
0.0492,69.029269684,216.262503877,216.262503877,206.121334233,226.902619068,36.7791975442
0.0504,69.0703970687,221.472523422,221.472523422,210.845890539,232.634738603,36.8333728352
0.0516,69.1115939914,226.67943901,226.67943901,215.556712638,238.376098063,36.886313533
0.0528,69.1528604352,231.883249102,231.883249102,220.253846031,244.126684654,36.9380762663
0.054,69.1941963831,237.083952174,237.083952174,224.937336028,249.886485591,36.9887138458
0.0552,69.2356018177,242.281546716,242.281546716,229.607227744,255.655488095,37.0382756003
0.0564,69.2770767218,247.47603123,247.47603123,234.263566102,261.433679391,37.0868076758
0.0576,69.3186210778,252.667404233,252.667404233,238.906395833,267.221046717,37.1343533041
0.0588,69.3602348679,257.855664253,257.855664253,243.535761478,273.017577311,37.1809530426
0.06,69.4019180744,263.040809834,263.040809834,248.151707391,278.823258424,37.226644991
0.0612,69.4436706791,268.222839532,268.222839532,252.754277734,284.638077311,37.2714649858
0.0624,69.4854926638,273.401751915,273.401751915,257.343516486,290.462021234,37.3154467758
0.0636,69.5273840102,278.577545566,278.577545566,261.919467437,296.295077464,37.3586221817
0.0648,69.5693446998,283.750219081,283.750219081,266.482174194,302.137233278,37.4010212399
0.066,69.6113747137,288.91977107,288.91977107,271.031680178,307.98847596,37.4426723338
0.0672,69.6534740333,294.086200154,294.086200154,275.56802863,313.848792804,37.4836023125
0.0684,69.6956426394,299.249504969,299.249504969,280.091262607,319.718171109,37.5238366
0.0696,69.7378805128,304.409684164,304.409684164,284.601424985,325.596598181,37.5633992938
0.0708,69.7801876343,309.5667364,309.5667364,289.098558461,331.484061337,37.6023132559
0.072,69.8225639843,314.720660353,314.720660353,293.582705553,337.380547899,37.6406001959
0.0732,69.8650095432,319.871454711,319.871454711,298.053908602,343.286045196,37.6782807471
0.0744,69.9075242911,325.019118176,325.019118176,302.512209769,349.200540568,37.7153745366
0.0756,69.9501082081,330.163649461,330.163649461,306.957651043,355.124021361,37.7519002496
0.0768,69.992761274,335.305047295,335.305047295,311.390274234,361.056474928,37.7878756886
0.078,70.0354834686,340.443310419,340.443310419,315.810120982,366.997888631,37.8233178286
0.0792,70.0782747713,345.578437585,345.578437585,320.217232751,372.948249842,37.8582428673
0.0804,70.1211351618,350.710427561,350.710427561,324.611650834,378.907545937,37.8926662716
0.0816,70.164064619,355.839279127,355.839279127,328.993416353,384.875764304,37.9266028218
0.0828,70.2070631223,360.964991076,360.964991076,333.362570258,390.852892337,37.9600666506
0.084,70.2501306504,366.087562213,366.087562213,337.719153333,396.838917439,37.9930712811
0.0852,70.2932671823,371.206991358,371.206991358,342.063206191,402.833827022,38.0256296613
0.0864,70.3364726965,376.323277342,376.323277342,346.394769277,408.837608505,38.0577541961
0.0876,70.3797471715,381.436419011,381.436419011,350.713882871,414.850249316,38.0894567771
0.0888,70.4230905857,386.546415221,386.546415221,355.020587088,420.871736893,38.1207488112
0.09,70.4665029173,391.653264845,391.653264845,359.314921876,426.902058681,38.1516412457
0.0912,70.5099841444,396.756966764,396.756966764,363.59692702,432.941202133,38.1821445935
0.0924,70.5535342447,401.857519877,401.857519877,367.866642143,438.989154714,38.2122689554
0.0936,70.5971531961,406.954923092,406.954923092,372.124106704,445.045903893,38.2420240412
0.0948,70.6408409762,412.04917533,412.04917533,376.369360002,451.111437152,38.2714191901
0.096,70.6845975625,417.140275529,417.140275529,380.602441176,457.18574198,38.3004633891
0.0972,70.7284229322,422.228222634,422.228222634,384.823389204,463.268805874,38.3291652902
0.0984,70.7723170625,427.313015608,427.313015608,389.032242906,469.360616343,38.3575332275
0.0996,70.8162799304,432.394653422,432.394653422,393.229040944,475.461160903,38.3855752321
0.1008,70.8603115129,437.473135064,437.473135064,397.413821824,481.570427078,38.4132990467
0.102,70.9044117867,442.548459531,442.548459531,401.586623894,487.688402404,38.4407121393
0.1032,70.9485807283,447.620625837,447.620625837,405.747485349,493.815074423,38.4678217163
0.1044,70.9928183143,452.689633004,452.689633004,409.896444227,499.95043069,38.4946347342
0.1056,71.0371245209,457.75548007,457.75548007,414.033538414,506.094458766,38.5211579112
0.1068,71.0814993243,462.818166085,462.818166085,418.158805642,512.247146223,38.5473977379
0.108,71.1259427006,467.87769011,467.87769011,422.272283493,518.408480642,38.5733604877
0.1092,71.1704546257,472.93405122,472.93405122,426.374009395,524.578449614,38.5990522261
0.1104,71.2150350753,477.987248504,477.987248504,430.464020627,530.757040738,38.62447882
0.1116,71.2596840251,483.03728106,483.03728106,434.542354318,536.944241626,38.6496459461
0.1128,71.3044014505,488.084148001,488.084148001,438.609047449,543.140039895,38.6745590993
0.114,71.349187327,493.127848452,493.127848452,442.664136851,549.344423176,38.6992236001
0.1152,71.3940416296,498.168381551,498.168381551,446.70765921,555.557379106,38.7236446021
0.1164,71.4389643336,503.205746448,503.205746448,450.739651065,561.778895335,38.7478270989
0.1176,71.4839554139,508.239942306,508.239942306,454.760148806,568.008959521,38.7717759307
0.1188,71.5290148452,513.270968298,513.270968298,458.769188683,574.247559332,38.7954957902
0.12,71.5741426023,518.298823613,518.298823613,462.766806797,580.494682447,38.8189912289
0.1212,71.6193386598,523.32350745,523.32350745,466.75303911,586.750316553,38.8422666629
0.1224,71.664602992,528.345019022,528.345019022,470.727921438,593.01444935,38.8653263774
0.1236,71.7099355732,533.363357552,533.363357552,474.691489455,599.287068545,38.8881745328
0.1248,71.7553363777,538.378522278,538.378522278,478.643778696,605.568161858,38.9108151689
0.126,71.8008053794,543.390512448,543.390512448,482.584824554,611.857717016,38.9332522096
0.1272,71.8463425523,548.399327324,548.399327324,486.514662282,618.15572176,38.9554894675
0.1284,71.8919478701,553.40496618,553.40496618,490.433326994,624.462163838,38.977530648
0.1296,71.9376213065,558.407428302,558.407428302,494.340853666,630.77703101,38.9993793532
0.1308,71.983362835,563.406712987,563.406712987,498.237277137,637.100311045,39.0210390856
0.132,72.029172429,568.402819546,568.402819546,502.122632107,643.431991726,39.0425132521
0.1332,72.0750500619,573.395747301,573.395747301,505.996953142,649.772060841,39.0638051672
0.1344,72.1209957066,578.385495587,578.385495587,509.860274671,656.120506194,39.0849180564
0.1356,72.1670093363,583.372063751,583.372063751,513.712630989,662.477315596,39.1058550592
0.1368,72.2130909239,588.355451151,588.355451151,517.554056256,668.842476869,39.1266192325
0.138,72.2592404422,593.335657159,593.335657159,521.384584498,675.215977847,39.1472135529
0.1392,72.3054578637,598.312681157,598.312681157,525.204249611,681.597806374,39.1676409202
0.1404,72.3517431612,603.28652254,603.28652254,529.013085356,687.987950305,39.1879041595
0.1416,72.3980963068,608.257180716,608.257180716,532.811125365,694.386397506,39.2080060238
0.1428,72.4445172731,613.224655103,613.224655103,536.598403135,700.793135852,39.2279491967
0.144,72.491006032,618.188945132,618.188945132,540.374952039,707.208153231,39.2477362945
0.1452,72.5375625558,623.150050247,623.150050247,544.140805315,713.631437542,39.2673698686
0.1464,72.5841868164,628.107969901,628.107969901,547.895996075,720.062976694,39.2868524074
0.1476,72.6308787854,633.062703562,633.062703562,551.640557304,726.502758607,39.3061863385
0.1488,72.6776384348,638.014250707,638.014250707,555.374521855,732.950771213,39.3253740307
0.15,72.724465736,642.962610829,642.962610829,559.09792246,739.407002453,39.3444177959
0.1512,72.7713606606,647.907783428,647.907783428,562.81079172,745.871440282,39.3633198908
0.1524,72.8183231799,652.849768018,652.849768018,566.513162112,752.344072664,39.3820825187
0.1536,72.8653532651,657.788564126,657.788564126,570.20506599,758.824887575,39.4007078312
0.1548,72.9124508874,662.724171288,662.724171288,573.88653558,765.313873004,39.4191979297
0.156,72.9596160178,667.656589055,667.656589055,577.557602988,771.811016947,39.4375548673
0.1572,73.0068486273,672.585816986,672.585816986,581.218300195,778.316307416,39.4557806498
0.1584,73.0541486865,677.511854654,677.511854654,584.868659059,784.829732431,39.4738772373
0.1596,73.1015161662,682.434701644,682.434701644,588.508711318,791.351280026,39.4918465459
0.1608,73.148951037,687.354357551,687.354357551,592.138488586,797.880938245,39.5096904485
0.162,73.1964532693,692.270821983,692.270821983,595.75802236,804.418695144,39.5274107765
0.1632,73.2440228335,697.184094558,697.184094558,599.367344015,810.96453879,39.5450093207
0.1644,73.2916596999,702.094174907,702.094174907,602.966484805,817.518457261,39.5624878329
0.1656,73.3393638385,707.001062672,707.001062672,606.555475868,824.08043865,39.5798480267
0.1668,73.3871352194,711.904757506,711.904757506,610.134348222,830.650471058,39.5970915785
0.168,73.4349738126,716.805259074,716.805259074,613.703132769,837.228542599,39.6142201289
0.1692,73.4828795878,721.702567053,721.702567053,617.261860292,843.814641399,39.6312352837
0.1704,73.5308525148,726.59668113,726.59668113,620.810561458,850.408755595,39.6481386146
0.1716,73.5788925632,731.487601005,731.487601005,624.349266819,857.010873337,39.6649316604
0.1728,73.6269997024,736.375326387,736.375326387,627.87800681,863.620982787,39.6816159277
0.174,73.6751739019,741.259856999,741.259856999,631.396811754,870.239072117,39.698192892
0.1752,73.723415131,746.141192573,746.141192573,634.905711856,876.865129512,39.7146639987
0.1764,73.7717233589,751.019332855,751.019332855,638.404737211,883.49914317,39.7310306633
0.1776,73.8200985547,755.894277599,755.894277599,641.893917798,890.1411013,39.7472942729
0.1788,73.8685406873,760.766026572,760.766026572,645.373283485,896.790992123,39.7634561865
0.18,73.9170497257,765.634579553,765.634579553,648.842864028,903.448803872,39.7795177362
0.1812,73.9656256386,770.49993633,770.49993633,652.302689071,910.114524793,39.7954802273
0.1824,74.0142683948,775.362096704,775.362096704,655.752788146,916.788143143,39.8113449396
0.1836,74.0629779628,780.221060487,780.221060487,659.193190678,923.469647192,39.8271131276
0.1848,74.1117543112,785.0768275,785.0768275,662.623925979,930.159025222,39.8427860217
0.186,74.1605974083,789.929397577,789.929397577,666.045023252,936.856265527,39.8583648281
0.1872,74.2095072224,794.778770564,794.778770564,669.456511594,943.561356413,39.8738507302
