s,Pi
2.4e-15,1.1999999879999997e-07
2.6999999999999997e-15,1.3499999864999998e-07
3e-15,1.499999985e-07
3.3e-15,1.6499999834999997e-07
3.6e-15,1.7999999819999998e-07
1.3496191804568377e-14,6.748095834803229e-07
1.5183215780139423e-14,7.591607814153633e-07
1.687023975571047e-14,8.435119793504037e-07
1.8557263731281518e-14,9.278631772854439e-07
2.0244287706852565e-14,1.0122143752204843e-06
7.58946638440411e-14,3.7947331542547228e-06
8.538149682454624e-14,4.269074798536563e-06
9.486832980505138e-14,4.7434164428184036e-06
1.0435516278555651e-13,5.217758087100244e-06
1.1384199576606166e-13,5.692099731382084e-06
4.2678705840934147e-13,2.1339352707073543e-05
4.801354407105091e-13,2.4006771795457734e-05
5.334838230116768e-13,2.6674190883841928e-05
5.868322053128445e-13,2.934160997222612e-05
6.401805876140122e-13,3.2009029060610314e-05
2.4e-12,0.00011999999879999998
2.7e-12,0.00013499999864999997
2.9999999999999997e-12,0.0001499999985
3.3e-12,0.00016499999834999998
3.6e-12,0.00017999999819999998
1.3496191804568377e-11,0.0006748095834803229
1.5183215780139424e-11,0.0007591607814153632
1.687023975571047e-11,0.0008435119793504036
1.855726373128152e-11,0.000927863177285444
2.0244287706852567e-11,0.0010122143752204845
7.58946638440411e-11,0.003794733154254723
8.538149682454624e-11,0.004269074798536564
9.486832980505138e-11,0.004743416442818404
1.0435516278555651e-10,0.005217758087100244
1.1384199576606166e-10,0.005692099731382084
4.2678705840934147e-10,0.02133935270707354
4.801354407105092e-10,0.024006771795457734
5.334838230116768e-10,0.026674190883841927
5.868322053128445e-10,0.02934160997222612
6.401805876140122e-10,0.03200902906061031
2.4e-09,0.11999999879999998
2.6999999999999998e-09,0.13499999864999998
3e-09,0.14999999849999995
3.3e-09,0.16499999834999995
3.6e-09,0.17999999819999996
